2016-08-05 15:11:03 [main] INFO  org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@1552920: startup date [Fri Aug 05 15:11:03 GMT+08:00 2016]; root of context hierarchy
2016-08-05 15:11:03 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [com/cl/dubbo/payload/hello-provider.xml]
2016-08-05 15:11:03 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] The service ready on spring started. service: com.cl.dubbo.payload.HelloService, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] Export dubbo service com.cl.dubbo.payload.HelloService to local registry, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] Export dubbo service com.cl.dubbo.payload.HelloService to url dubbo://10.10.14.66:20880/com.cl.dubbo.payload.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.payload.HelloService&methods=sayHello&pid=10824&revision=1.0.0&side=provider&timestamp=1470381064066&version=1.0.0, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.config.AbstractConfig -  [DUBBO] Register dubbo service com.cl.dubbo.payload.HelloService url dubbo://10.10.14.66:20880/com.cl.dubbo.payload.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.payload.HelloService&methods=sayHello&pid=10824&revision=1.0.0&side=provider&timestamp=1470381064066&version=1.0.0 to registry registry://224.0.0.0:1234/com.alibaba.dubbo.registry.RegistryService?application=hello-world-app&dubbo=2.5.3&pid=10824&registry=multicast&timestamp=1470381064038&unicast=false, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.remoting.transport.AbstractServer -  [DUBBO] Start NettyServer bind /0.0.0.0:20880, export /10.10.14.66:20880, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.registry.multicast.MulticastRegistry -  [DUBBO] Load registry store file C:\Users\Administrator\.dubbo\dubbo-registry-224.0.0.0.cache, data: {com.cl.dubbo.HelloService:1.0.0=dubbo://10.10.14.66:20880/com.cl.dubbo.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.HelloService&methods=addBadUser,sayHello,addUser,testException,say&pid=45720&revision=1.0.0&side=provider&timestamp=1464673535802&version=1.0.0, com.cl.dubbo.validate.ValidationService=dubbo://10.10.14.239:20880/com.cl.dubbo.validate.ValidationService?anyhost=true&application=cache-provider&dubbo=2.5.3&interface=com.cl.dubbo.validate.ValidationService&methods=save,update&pid=6536&side=provider&timestamp=1452504799914&validation=true, com.cl.dubbo.timeout.HelloService:1.0.0=dubbo://10.10.14.66:20880/com.cl.dubbo.timeout.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.timeout.HelloService&methods=sayHello&pid=42480&revision=1.0.0&side=provider&timestamp=1464676565989&version=1.0.0, com.cl.dubbo.bug.entry.HelloService:1.0.0=dubbo://10.10.14.66:20880/com.cl.dubbo.bug.entry.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.bug.entry.HelloService&methods=sayHello&pid=12492&revision=1.0.0&side=provider&timestamp=1468549903766&version=1.0.0, com.cl.dubbo.performance.HelloService:1.0.0=dubbo://10.10.14.66:20880/com.cl.dubbo.performance.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.performance.HelloService&methods=sayHello,getUserList&pid=7632&revision=1.0.0&side=provider&timestamp=1464856461737&version=1.0.0, com.cl.dubbo.bug.date.NullDateService:1.0.0=dubbo://10.10.14.66:20880/com.cl.dubbo.bug.date.NullDateService?anyhost=true&application=null-date&dubbo=2.5.3&interface=com.cl.dubbo.bug.date.NullDateService&methods=question&pid=19408&revision=1.0.0&side=provider&timestamp=1467166087154&version=1.0.0, com.cl.dubbo.context.ContextService=dubbo://10.10.14.239:20880/com.cl.dubbo.context.ContextService?anyhost=true&application=context-provider&dubbo=2.5.3&interface=com.cl.dubbo.context.ContextService&methods=getConfig&pid=1192&side=provider&timestamp=1452311889576, com.cl.dubbo.exception.HelloService:1.0.0=dubbo://10.10.14.66:20880/com.cl.dubbo.exception.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.exception.HelloService&methods=sayHello&pid=15712&revision=1.0.0&side=provider&timestamp=1467100098364&version=1.0.0, com.cl.dubbo.spring.HelloService=dubbo://10.10.14.239:20880/com.cl.dubbo.spring.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.spring.HelloService&methods=sayHello&pid=6936&side=provider&timestamp=1452563226655, com.cl.dubbo.spring.provider.anno.HelloService=dubbo://10.10.14.239:20880/com.cl.dubbo.spring.provider.anno.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.spring.provider.anno.HelloService&methods=sayHello&pid=6564&side=provider&timestamp=1452566629398, com.cl.dubbo.question.nulldate.NullDateService:1.0.0=dubbo://10.10.14.239:20880/com.cl.dubbo.question.nulldate.NullDateService?anyhost=true&application=null-date&dubbo=2.5.3&interface=com.cl.dubbo.question.nulldate.NullDateService&methods=question&pid=2236&revision=1.0.0&side=provider&timestamp=1456196286592&version=1.0.0, com.cl.dubbo.callback.CallbackService=dubbo://10.10.14.239:20880/com.cl.dubbo.callback.CallbackService?addListener.1.callback=true&anyhost=true&application=callback-provider&callbacks=1000&connections=1&dubbo=2.5.3&interface=com.cl.dubbo.callback.CallbackService&methods=addListener&pid=8536&side=provider&timestamp=1452318696360, com.cl.dubbo.cache.CacheService=dubbo://10.10.14.239:20880/com.cl.dubbo.cache.CacheService?anyhost=true&application=cache-provider&dubbo=2.5.3&interface=com.cl.dubbo.cache.CacheService&methods=findCache&pid=7380&side=provider&timestamp=1452307712860, com.cl.dubbo.spring.provider.HelloService=dubbo://10.10.14.239:20880/com.cl.dubbo.spring.provider.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.spring.provider.HelloService&methods=sayHello&pid=9160&side=provider&timestamp=1452566569924, com.cl.dubbo.payload.HelloService:1.0.0=dubbo://10.10.14.66:20880/com.cl.dubbo.payload.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.payload.HelloService&methods=sayHello&pid=6536&revision=1.0.0&side=provider&timestamp=1470380674359&version=1.0.0, com.cl.dubbo.HelloService=rmi://10.10.14.239:1099/com.cl.dubbo.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.HelloService&methods=sayHello,say&pid=6776&side=provider&timestamp=1452249946164}, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.registry.multicast.MulticastRegistry -  [DUBBO] Register: dubbo://10.10.14.66:20880/com.cl.dubbo.payload.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.payload.HelloService&methods=sayHello&pid=10824&revision=1.0.0&side=provider&timestamp=1470381064066&version=1.0.0, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.registry.multicast.MulticastRegistry -  [DUBBO] Send broadcast message: register dubbo://10.10.14.66:20880/com.cl.dubbo.payload.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.payload.HelloService&methods=sayHello&pid=10824&revision=1.0.0&side=provider&timestamp=1470381064066&version=1.0.0 to /224.0.0.0:1234, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [main] INFO  com.alibaba.dubbo.registry.multicast.MulticastRegistry -  [DUBBO] Subscribe: provider://10.10.14.66:20880/com.cl.dubbo.payload.HelloService?anyhost=true&application=hello-world-app&category=configurators&check=false&dubbo=2.5.3&interface=com.cl.dubbo.payload.HelloService&methods=sayHello&pid=10824&revision=1.0.0&side=provider&timestamp=1470381064066&version=1.0.0, dubbo version: 2.5.3, current host: 127.0.0.1
2016-08-05 15:11:04 [DubboMulticastRegistryReceiver] INFO  com.alibaba.dubbo.registry.multicast.MulticastRegistry -  [DUBBO] Receive multicast message: register dubbo://10.10.14.66:20880/com.cl.dubbo.payload.HelloService?anyhost=true&application=hello-world-app&dubbo=2.5.3&interface=com.cl.dubbo.payload.HelloService&methods=sayHello&pid=10824&revision=1.0.0&side=provider&timestamp=1470381064066&version=1.0.0 from /10.10.14.66:1234, dubbo version: 2.5.3, current host: 127.0.0.1
